Record #:  1
Notes :
gain 6 zorye running

12/11/20259:37:55 pm
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
84.491110E-3	5.469036E-3	12.082672E-3	-369.861174E-3	-400.000000E-3	220.267677E-3	104.158974E-3	-400.000000E-3
84.491158E-3	5.471373E-3	12.092495E-3	-369.855165E-3	-400.000000E-3	220.273781E-3	104.168558E-3	-400.000000E-3
84.493732E-3	5.486059E-3	12.131357E-3	-369.848108E-3	-400.000000E-3	220.283270E-3	104.183531E-3	-400.000000E-3
84.493542E-3	5.487967E-3	12.150669E-3	-369.843435E-3	-400.000000E-3	220.294237E-3	104.191971E-3	-400.000000E-3
84.492445E-3	5.490208E-3	12.161303E-3	-369.839668E-3	-400.000000E-3	220.304298E-3	104.197598E-3	-400.000000E-3
84.491539E-3	5.496788E-3	12.171078E-3	-369.836998E-3	-400.000000E-3	220.312214E-3	104.205608E-3	-400.000000E-3
84.491682E-3	5.487585E-3	12.178516E-3	-369.826794E-3	-400.000000E-3	220.330286E-3	104.221535E-3	-400.000000E-3
84.491396E-3	5.491018E-3	12.181330E-3	-369.837332E-3	-400.000000E-3	220.324802E-3	104.209089E-3	-400.000000E-3
84.491682E-3	5.487776E-3	12.190199E-3	-369.841766E-3	-400.000000E-3	220.319223E-3	104.198027E-3	-400.000000E-3
84.490967E-3	5.472565E-3	12.200832E-3	-369.820976E-3	-400.000000E-3	220.337820E-3	104.216528E-3	-400.000000E-3
84.487104E-3	5.467749E-3	12.219191E-3	-369.785643E-3	-400.000000E-3	220.369053E-3	104.245138E-3	-400.000000E-3
84.485245E-3	5.471516E-3	12.220812E-3	-369.795275E-3	-400.000000E-3	220.361233E-3	104.233599E-3	-400.000000E-3
84.484577E-3	5.464506E-3	12.219858E-3	-369.794893E-3	-400.000000E-3	220.362806E-3	104.230690E-3	-400.000000E-3
84.485769E-3	5.458641E-3	12.211466E-3	-369.795656E-3	-400.000000E-3	220.359373E-3	104.228640E-3	-400.000000E-3
84.489775E-3	5.459118E-3	12.216663E-3	-369.797659E-3	-400.000000E-3	220.358896E-3	104.227543E-3	-400.000000E-3
84.493637E-3	5.464840E-3	12.222958E-3	-369.782448E-3	-400.000000E-3	220.376205E-3	104.244328E-3	-400.000000E-3
84.495735E-3	5.445433E-3	12.192297E-3	-369.771671E-3	-400.000000E-3	220.392799E-3	104.257059E-3	-400.000000E-3
84.494734E-3	5.445623E-3	12.168503E-3	-369.798660E-3	-400.000000E-3	220.370245E-3	104.234648E-3	-400.000000E-3
84.495354E-3	5.439568E-3	12.164783E-3	-369.805384E-3	-400.000000E-3	220.358324E-3	104.231358E-3	-400.000000E-3
84.497881E-3	5.419970E-3	12.164307E-3	-369.793463E-3	-400.000000E-3	220.366144E-3	104.240322E-3	-400.000000E-3
84.501028E-3	5.404758E-3	12.153339E-3	-369.783688E-3	-400.000000E-3	220.377922E-3	104.249382E-3	-400.000000E-3
84.505033E-3	5.410910E-3	12.154055E-3	-369.793034E-3	-400.000000E-3	220.369339E-3	104.238653E-3	-400.000000E-3
84.506655E-3	5.413198E-3	12.143517E-3	-369.797134E-3	-400.000000E-3	220.362806E-3	104.232502E-3	-400.000000E-3
